Name: Avenida de Santa Cruz, Instruction: Head east on Avenida de Santa Cruz, Distance: 179.5 meters, Time: 129.2 seconds
Name: Estrada dos Coqueiros, Instruction: Turn left onto Estrada dos Coqueiros, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 1268.2 meters, Time: 913.1 seconds
Name: -, Instruction: Turn left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Turn left, Distance: 93.3 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.5 seconds
Name: Rua Boiobi, Instruction: Turn sharp left onto Rua Boiobi, Distance: 277.9 meters, Time: 200.1 seconds
Name: Rua da Fábrica, Instruction: Turn right onto Rua da Fábrica, Distance: 472.4 meters, Time: 340.1 seconds
Name: -, Instruction: Continue straight, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
