Name: Rue Jules Ferry, Instruction: Head northeast on Rue Jules Ferry, Distance: 44.4 meters, Time: 32.0 seconds
Name: Rue Jean Jaurès, Instruction: Turn left onto Rue Jean Jaurès, Distance: 172.2 meters, Time: 124.0 seconds
Name: Rue Jean Jaurès, Instruction: Turn left onto Rue Jean Jaurès, Distance: 140.5 meters, Time: 101.2 seconds
Name: Rue de la République, Instruction: Turn right onto Rue de la République, Distance: 60.6 meters, Time: 43.6 seconds
Name: Rue de l'Abbé Bourbon, Instruction: Turn left onto Rue de l'Abbé Bourbon, Distance: 196.6 meters, Time: 141.6 seconds
Name: Rue de l'Abbé Bourbon, Instruction: Continue straight onto Rue de l'Abbé Bourbon, Distance: 67.1 meters, Time: 48.3 seconds
Name: Rue Gabriel Husson, Instruction: Turn right onto Rue Gabriel Husson, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Rue Paul de Kock, Instruction: Turn sharp left onto Rue Paul de Kock, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: Rue Paul de Kock, Instruction: Turn left onto Rue Paul de Kock, Distance: 289.5 meters, Time: 208.5 seconds
Name: Chemin des Pothuys, Instruction: Turn right onto Chemin des Pothuys, Distance: 91.8 meters, Time: 66.1 seconds
Name: Chemin des Pothuys, Instruction: Turn left onto Chemin des Pothuys, Distance: 148.0 meters, Time: 106.5 seconds
Name: Rue des Coudes Cornettes, Instruction: Continue straight onto Rue des Coudes Cornettes, Distance: 53.1 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn left, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
