Name: Merchants Way, Instruction: Head southeast on Merchants Way, Distance: 12.7 meters, Time: 9.1 seconds
Name: Pascal Street, Instruction: Continue straight onto Pascal Street, Distance: 146.4 meters, Time: 105.4 seconds
Name: Wandsworth Road, A3036, Instruction: Turn right onto Wandsworth Road, A3036, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Turn left, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn right, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Continue straight, Distance: 5.5 meters, Time: 4.0 seconds
Name: Hartington Road, Instruction: Turn right onto Hartington Road, Distance: 400.7 meters, Time: 288.5 seconds
Name: Lansdowne Way, Instruction: Turn left onto Lansdowne Way, Distance: 5.6 meters, Time: 4.1 seconds
Name: Priory Grove, Instruction: Turn right onto Priory Grove, Distance: 298.6 meters, Time: 215.0 seconds
Name: Priory Grove, Instruction: Keep right onto Priory Grove, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Larkhall Lane, Instruction: Turn right onto Larkhall Lane, Distance: 578.7 meters, Time: 416.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 496.6 meters, Time: 357.6 seconds
Name: Fitzwilliam Road, Instruction: Turn right onto Fitzwilliam Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: Rectory Grove, Instruction: Turn left onto Rectory Grove, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
