Name: Finlay Street, Instruction: Head west on Finlay Street, Distance: 199.6 meters, Time: 143.7 seconds
Name: -, Instruction: Turn right, Distance: 291.6 meters, Time: 209.9 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn left, Distance: 327.7 meters, Time: 236.0 seconds
Name: -, Instruction: Turn left, Distance: 60.5 meters, Time: 43.5 seconds
Name: Hansford Street, Instruction: Turn left onto Hansford Street, Distance: 33.9 meters, Time: 24.4 seconds
Name: Lawler Drive, Instruction: Turn right onto Lawler Drive, Distance: 100.2 meters, Time: 72.1 seconds
Name: Austen Circuit, Instruction: Turn left onto Austen Circuit, Distance: 84.1 meters, Time: 60.6 seconds
Name: Austen Circuit, Instruction: Turn right onto Austen Circuit, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 83.0 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
