Name: Francis Street, Instruction: Head west on Francis Street, Distance: 399.5 meters, Time: 287.6 seconds
Name: -, Instruction: Turn left, Distance: 143.4 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 37.0 seconds
Name: Pine Street, Instruction: Turn left onto Pine Street, Distance: 439.7 meters, Time: 316.6 seconds
Name: Wardell Road, Instruction: Turn left onto Wardell Road, Distance: 48.7 meters, Time: 35.0 seconds
Name: Beach Road, Instruction: Turn right onto Beach Road, Distance: 458.8 meters, Time: 330.4 seconds
Name: -, Instruction: Turn left, Distance: 281.0 meters, Time: 202.3 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: Consett Street, Instruction: Enter the roundabout and take the 1st exit onto Consett Street, Distance: 108.3 meters, Time: 78.0 seconds
Name: Terrace Road, Instruction: Turn sharp left onto Terrace Road, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Arrive at Terrace Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
