Name: Rue Dulaure, Instruction: Head west on Rue Dulaure, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Rue Pierre Mouillard, Instruction: Turn right onto Rue Pierre Mouillard, Distance: 4.2 meters, Time: 3.0 seconds
Name: Rue du Lieutenant Chauré, Instruction: Enter the roundabout and take the 2nd exit onto Rue du Lieutenant Chauré, Distance: 174.2 meters, Time: 125.4 seconds
Name: Rue de l'Adjudant Réau, Instruction: Turn left onto Rue de l'Adjudant Réau, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight left, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Rue du Capitaine Marchal, Instruction: Turn right onto Rue du Capitaine Marchal, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 133.9 meters, Time: 96.4 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: Rue du Surmelin, Instruction: Turn left onto Rue du Surmelin, Distance: 8.0 meters, Time: 5.8 seconds
Name: Rue Pelleport, Instruction: Turn right onto Rue Pelleport, Distance: 39.4 meters, Time: 28.4 seconds
Name: Rue Orfila, Instruction: Turn left onto Rue Orfila, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn slight left, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Keep right, Distance: 3.3 meters, Time: 2.4 seconds
Name: Rue Villiers de l'Isle Adam, Instruction: Turn left onto Rue Villiers de l'Isle Adam, Distance: 28.1 meters, Time: 20.3 seconds
Name: Rue Hélène Jakubowicz, Instruction: Turn right onto Rue Hélène Jakubowicz, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn left, Distance: 193.7 meters, Time: 139.5 seconds
Name: -, Instruction: Turn left, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Keep left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Turn left, Distance: 53.6 meters, Time: 38.6 seconds
Name: Rue Fernand Raynaud, Instruction: Turn right onto Rue Fernand Raynaud, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
