Name: Tyrrel Avenue, Instruction: Head west on Tyrrel Avenue, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 39.8 meters, Time: 28.6 seconds
Name: -, Instruction: Turn left, Distance: 190.0 meters, Time: 136.8 seconds
Name: Lt. John Roberts Kenmure Lane, Instruction: Turn right onto Lt. John Roberts Kenmure Lane, Distance: 105.2 meters, Time: 75.8 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 395.9 meters, Time: 285.1 seconds
Name: -, Instruction: Keep right, Distance: 137.5 meters, Time: 99.0 seconds
Name: -, Instruction: Turn left, Distance: 87.2 meters, Time: 62.8 seconds
Name: Beaver Avenue, Instruction: Turn left onto Beaver Avenue, Distance: 8.2 meters, Time: 5.9 seconds
Name: Dufferin Street, Instruction: Turn right onto Dufferin Street, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Arrive at Dufferin Street, on the left, Distance: 0.0 meters, Time: 0.0 seconds
