Name: Nellie Stewart Drive, Instruction: Head east on Nellie Stewart Drive, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 406.4 meters, Time: 292.6 seconds
Name: -, Instruction: Turn slight left, Distance: 256.4 meters, Time: 184.6 seconds
Name: -, Instruction: Turn slight left, Distance: 340.6 meters, Time: 245.2 seconds
Name: -, Instruction: Turn right, Distance: 301.9 meters, Time: 217.4 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 71.8 meters, Time: 51.7 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn right, Distance: 69.4 meters, Time: 50.0 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Pedder Close, Instruction: Turn left onto Pedder Close, Distance: 6.2 meters, Time: 4.4 seconds
Name: Burrinjuck Drive, Instruction: Turn left onto Burrinjuck Drive, Distance: 393.9 meters, Time: 283.6 seconds
Name: Tuggerah Place, Instruction: Turn right onto Tuggerah Place, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
