Name: Rue Mounet-Sully, Instruction: Head southeast on Rue Mounet-Sully, Distance: 63.0 meters, Time: 45.4 seconds
Name: Rue des Pyrénées, Instruction: Turn right onto Rue des Pyrénées, Distance: 52.6 meters, Time: 37.9 seconds
Name: Cours de Vincennes, Instruction: Turn left onto Cours de Vincennes, Distance: 19.6 meters, Time: 14.1 seconds
Name: Rue des Pyrénées, Instruction: Turn right onto Rue des Pyrénées, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 252.0 meters, Time: 181.4 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn slight right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 217.7 meters, Time: 156.7 seconds
Name: -, Instruction: Turn left, Distance: 156.5 meters, Time: 112.7 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
