Name: Big Dry Creek Trail, Instruction: Head northeast on Big Dry Creek Trail, Distance: 10.6 meters, Time: 7.7 seconds
Name: Big Dry Creek Trail (alternate), Instruction: Turn left onto Big Dry Creek Trail (alternate), Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Continue straight, Distance: 50.1 meters, Time: 36.1 seconds
Name: -, Instruction: Turn slight left, Distance: 194.8 meters, Time: 140.3 seconds
Name: -, Instruction: Turn slight left, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 43.7 meters, Time: 31.5 seconds
Name: -, Instruction: Turn slight left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
