Name: Banks Avenue, Instruction: Head north on Banks Avenue, Distance: 26.1 meters, Time: 18.8 seconds
Name: Joffre Crescent, Instruction: Turn right onto Joffre Crescent, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn left, Distance: 146.9 meters, Time: 105.8 seconds
Name: Colonel Braund Crescent, Instruction: Turn right onto Colonel Braund Crescent, Distance: 55.0 meters, Time: 39.6 seconds
Name: Colonel Braund Crescent, Instruction: Keep left onto Colonel Braund Crescent, Distance: 12.1 meters, Time: 8.7 seconds
Name: Colonel Braund Crescent, Instruction: Turn slight right onto Colonel Braund Crescent, Distance: 10.6 meters, Time: 7.7 seconds
Name: Bunnerong Road, Instruction: Turn right onto Bunnerong Road, Distance: 0.7 meters, Time: 0.5 seconds
Name: Anderson Street, Instruction: Turn left onto Anderson Street, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 160.2 meters, Time: 115.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 164.0 meters, Time: 118.1 seconds
Name: -, Instruction: Keep left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight right, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Keep left, Distance: 68.8 meters, Time: 49.5 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Keep left, Distance: 108.3 meters, Time: 77.9 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 93.7 meters, Time: 67.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
