Name: Boulevard Diderot, Instruction: Head northeast on Boulevard Diderot, Distance: 13.7 meters, Time: 9.9 seconds
Name: Rue Abel, Instruction: Keep left onto Rue Abel, Distance: 296.9 meters, Time: 213.8 seconds
Name: Rue de Prague, Instruction: Keep right onto Rue de Prague, Distance: 29.6 meters, Time: 21.3 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Keep right, Distance: 137.4 meters, Time: 99.0 seconds
Name: -, Instruction: Turn slight right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn slight right, Distance: 210.9 meters, Time: 151.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Keep right, Distance: 128.4 meters, Time: 92.5 seconds
Name: -, Instruction: Keep right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 135.9 meters, Time: 97.8 seconds
Name: -, Instruction: Keep right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep left, Distance: 106.7 meters, Time: 76.8 seconds
Name: -, Instruction: Keep left, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn slight right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Keep right, Distance: 47.4 meters, Time: 34.2 seconds
Name: -, Instruction: Keep right, Distance: 9.9 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
