Name: West Barnes Lane, Instruction: Head northeast on West Barnes Lane, Distance: 114.8 meters, Time: 82.7 seconds
Name: Marina Avenue, Instruction: Turn right onto Marina Avenue, Distance: 167.0 meters, Time: 120.3 seconds
Name: -, Instruction: Keep left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 66.6 meters, Time: 48.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn left, Distance: 269.0 meters, Time: 193.7 seconds
Name: -, Instruction: Turn right, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Keep right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn slight right, Distance: 391.6 meters, Time: 282.0 seconds
Name: Lower Morden Lane, Instruction: Turn left onto Lower Morden Lane, Distance: 74.7 meters, Time: 53.8 seconds
Name: Lower Morden Lane, Instruction: Keep right onto Lower Morden Lane, Distance: 23.8 meters, Time: 17.1 seconds
Name: -, Instruction: Turn right, Distance: 52.1 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 462.3 meters, Time: 332.9 seconds
Name: -, Instruction: Keep left, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
