Name: Lonedown Road, Instruction: Head west on Lonedown Road, Distance: 560.1 meters, Time: 403.2 seconds
Name: -, Instruction: Turn right, Distance: 109.5 meters, Time: 78.8 seconds
Name: -, Instruction: Keep left, Distance: 139.5 meters, Time: 100.4 seconds
Name: Lanston Road, Instruction: Turn left onto Lanston Road, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 99.2 meters, Time: 71.4 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn slight right, Distance: 15.7 meters, Time: 11.3 seconds
Name: Surran Road, Instruction: Turn left onto Surran Road, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Keep right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: Halman Walk, Instruction: Turn slight right onto Halman Walk, Distance: 138.7 meters, Time: 99.9 seconds
Name: -, Instruction: Arrive at Halman Walk, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
