Name: Dingle Road, Instruction: Head west on Dingle Road, Distance: 66.5 meters, Time: 47.9 seconds
Name: Church Road, Instruction: Turn left onto Church Road, Distance: 277.8 meters, Time: 200.0 seconds
Name: Station Road, Instruction: Turn right onto Station Road, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 92.6 meters, Time: 66.7 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn slight right, Distance: 102.5 meters, Time: 73.8 seconds
Name: Showground Avenue, Instruction: Turn left onto Showground Avenue, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Showground Avenue, Instruction: Turn left onto Showground Avenue, Distance: 837.5 meters, Time: 603.0 seconds
Name: Showground Avenue, Instruction: Keep right onto Showground Avenue, Distance: 321.4 meters, Time: 231.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 62.2 meters, Time: 44.8 seconds
Name: Showground Avenue, Instruction: Turn right onto Showground Avenue, Distance: 35.4 meters, Time: 25.5 seconds
Name: Bofors Circle, Instruction: Turn right onto Bofors Circle, Distance: 409.0 meters, Time: 294.4 seconds
Name: -, Instruction: Arrive at Bofors Circle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
