Name: Stiglmaierplatz, 1, 2, Instruction: Head south on Stiglmaierplatz, 1, 2, Distance: 130.8 meters, Time: 94.2 seconds
Name: SM02, Instruction: Turn right onto SM02, Distance: 72.7 meters, Time: 52.4 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: Stiglmaierplatz, Instruction: Turn right onto Stiglmaierplatz, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 212.6 meters, Time: 153.0 seconds
Name: -, Instruction: Keep right, Distance: 242.2 meters, Time: 174.4 seconds
Name: Marsstraße, Instruction: Turn sharp left onto Marsstraße, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 82.1 meters, Time: 59.1 seconds
Name: Hirtenstraße, Instruction: Turn sharp right onto Hirtenstraße, Distance: 63.2 meters, Time: 45.5 seconds
Name: Pfefferstraße, Instruction: Turn left onto Pfefferstraße, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Keep left, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Keep left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn left, Distance: 0.9 meters, Time: 0.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
