Name: Calle 75, Instruction: Head southwest on Calle 75, Distance: 212.0 meters, Time: 152.6 seconds
Name: Avenida 6, Instruction: Turn left onto Avenida 6, Distance: 51.8 meters, Time: 37.3 seconds
Name: Calle 77, Instruction: Turn right onto Calle 77, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Turn left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Keep right, Distance: 72.7 meters, Time: 52.4 seconds
Name: Calle Oriente 217, Instruction: Turn left onto Calle Oriente 217, Distance: 541.6 meters, Time: 389.9 seconds
Name: Avenida Sur 8, Instruction: Turn left onto Avenida Sur 8, Distance: 60.7 meters, Time: 43.7 seconds
Name: Canal Río Churubusco, Instruction: Turn left onto Canal Río Churubusco, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 349.1 meters, Time: 251.3 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: Canal Río Churubusco, Instruction: Turn right onto Canal Río Churubusco, Distance: 5.3 meters, Time: 3.8 seconds
Name: Avenida Sur 12, Instruction: Turn sharp left onto Avenida Sur 12, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 139.8 meters, Time: 100.7 seconds
Name: Calle 2, Instruction: Turn left onto Calle 2, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Arrive at Calle 2, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
