Name: Avenida Paseo de la Reforma, Instruction: Head northeast on Avenida Paseo de la Reforma, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Keep left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Keep left, Distance: 61.1 meters, Time: 44.0 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn left onto Avenida Insurgentes Sur, Distance: 352.0 meters, Time: 253.4 seconds
Name: -, Instruction: Turn left, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Keep left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Keep left, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Keep right, Distance: 18.4 meters, Time: 13.3 seconds
Name: Avenida Insurgentes Sur, Instruction: Keep left onto Avenida Insurgentes Sur, Distance: 206.0 meters, Time: 148.4 seconds
Name: -, Instruction: Turn right, Distance: 74.4 meters, Time: 53.5 seconds
Name: Calle Génova, Instruction: Turn sharp left onto Calle Génova, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Continue straight, Distance: 15.1 meters, Time: 10.9 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 61.0 meters, Time: 43.9 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn slight right onto Avenida Insurgentes Sur, Distance: 793.0 meters, Time: 570.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.7 meters, Time: 34.3 seconds
Name: Calle Popocatépetl, Instruction: Turn right onto Calle Popocatépetl, Distance: 226.1 meters, Time: 162.8 seconds
Name: Avenida México, Instruction: Enter the roundabout and take the 3rd exit onto Avenida México, Distance: 192.3 meters, Time: 138.5 seconds
Name: Avenida Sonora, Instruction: Turn sharp right onto Avenida Sonora, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
