Name: Rue du 14 Juillet, Instruction: Head east on Rue du 14 Juillet, Distance: 59.6 meters, Time: 42.9 seconds
Name: -, Instruction: Turn right, Distance: 98.8 meters, Time: 71.1 seconds
Name: Rue André Joineau, Instruction: Continue straight onto Rue André Joineau, Distance: 387.9 meters, Time: 279.3 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.2 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 220.3 meters, Time: 158.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 124.6 meters, Time: 89.7 seconds
Name: Boulevard d'Algérie, Instruction: Turn sharp right onto Boulevard d'Algérie, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Turn slight right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 229.5 meters, Time: 165.2 seconds
Name: -, Instruction: Keep right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 104.0 meters, Time: 74.9 seconds
Name: Avenue Principale, Instruction: Turn left onto Avenue Principale, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.6 seconds
Name: Avenue Transversale n°1, Instruction: Turn left onto Avenue Transversale n°1, Distance: 90.4 meters, Time: 65.1 seconds
Name: -, Instruction: Arrive at Avenue Transversale n°1, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
