Name: Dewson Street, Instruction: Head west on Dewson Street, Distance: 103.2 meters, Time: 74.3 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 127.4 meters, Time: 91.7 seconds
Name: -, Instruction: Turn right, Distance: 284.2 meters, Time: 204.6 seconds
Name: -, Instruction: Turn left, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn right, Distance: 107.4 meters, Time: 77.3 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: Archer Street, Instruction: Turn right onto Archer Street, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Arrive at Archer Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
