Name: Madeira Lane, Instruction: Head east on Madeira Lane, Distance: 67.1 meters, Time: 48.3 seconds
Name: Madeira Place, Instruction: Turn left onto Madeira Place, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Continue straight, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Keep right, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.0 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 152.9 meters, Time: 110.1 seconds
Name: -, Instruction: Turn right, Distance: 30.8 meters, Time: 22.1 seconds
Name: -, Instruction: Turn right, Distance: 75.9 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 12.0 meters, Time: 8.6 seconds
Name: Canada Street, Instruction: Turn left onto Canada Street, Distance: 72.9 meters, Time: 52.5 seconds
Name: Mercury Lane, Instruction: Keep right onto Mercury Lane, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Keep right, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Keep right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 165.2 meters, Time: 118.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.8 meters, Time: 11.4 seconds
Name: Pitt Street, Instruction: Turn right onto Pitt Street, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Arrive at Pitt Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
