Name: Rue Saint-Vincent, Instruction: Head southeast on Rue Saint-Vincent, Distance: 115.5 meters, Time: 83.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: Rue Saint-Rustique, Instruction: Turn left onto Rue Saint-Rustique, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 81.0 meters, Time: 58.3 seconds
Name: -, Instruction: Keep right, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Norvins, Instruction: Keep left onto Rue Norvins, Distance: 31.1 meters, Time: 22.4 seconds
Name: Place Jean Marais, Instruction: Turn right onto Place Jean Marais, Distance: 6.8 meters, Time: 4.9 seconds
Name: Place Jean Marais, Instruction: Turn left onto Place Jean Marais, Distance: 27.4 meters, Time: 19.7 seconds
Name: Rue du Mont Cenis, Instruction: Turn right onto Rue du Mont Cenis, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 148.2 meters, Time: 106.7 seconds
Name: Place Suzanne Valadon, Instruction: Continue straight onto Place Suzanne Valadon, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Place Saint-Pierre, Instruction: Turn left onto Place Saint-Pierre, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Rue de Steinkerque, Instruction: Turn right onto Rue de Steinkerque, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 34.9 meters, Time: 25.1 seconds
Name: Boulevard Marguerite de Rochechouart, Instruction: Turn right onto Boulevard Marguerite de Rochechouart, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 100.0 meters, Time: 72.0 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 190.2 meters, Time: 136.9 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Turgot, Instruction: Turn right onto Rue Turgot, Distance: 46.8 meters, Time: 33.7 seconds
Name: Rue Turgot, Instruction: Continue straight onto Rue Turgot, Distance: 3.0 meters, Time: 2.2 seconds
Name: Rue Turgot, Instruction: Continue straight onto Rue Turgot, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue Marguerite de Rochechouart, Instruction: Turn right onto Rue Marguerite de Rochechouart, Distance: 123.6 meters, Time: 89.0 seconds
Name: Rue Marguerite de Rochechouart, Instruction: Continue straight onto Rue Marguerite de Rochechouart, Distance: 124.3 meters, Time: 89.5 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Keep left, Distance: 74.2 meters, Time: 53.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
