Name: شارع عطيتو, Instruction: Head north on شارع عطيتو, Distance: 125.7 meters, Time: 90.5 seconds
Name: شارع المجاري الجديد, Instruction: Turn right onto شارع المجاري الجديد, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn left, Distance: 207.9 meters, Time: 149.7 seconds
Name: -, Instruction: Turn right, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 142.0 meters, Time: 102.2 seconds
Name: شارع المصانع, Instruction: Turn left onto شارع المصانع, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 147.5 meters, Time: 106.2 seconds
Name: شارع الثناء, Instruction: Turn left onto شارع الثناء, Distance: 21.4 meters, Time: 15.4 seconds
Name: شارع مقابر البساتين, Instruction: Turn sharp right onto شارع مقابر البساتين, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Keep left, Distance: 43.0 meters, Time: 31.0 seconds
Name: -, Instruction: Turn right, Distance: 237.7 meters, Time: 171.1 seconds
Name: -, Instruction: Turn left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
