Name: شارع سالم محمد موسى, Instruction: Head west on شارع سالم محمد موسى, Distance: 190.3 meters, Time: 137.0 seconds
Name: -, Instruction: Keep left, Distance: 41.9 meters, Time: 30.2 seconds
Name: شارع عمرو بن العاص, Instruction: Turn slight left onto شارع عمرو بن العاص, Distance: 135.2 meters, Time: 97.4 seconds
Name: -, Instruction: Turn right, Distance: 81.7 meters, Time: 58.8 seconds
Name: شارع خالد بن الوليد, Instruction: Turn left onto شارع خالد بن الوليد, Distance: 117.4 meters, Time: 84.5 seconds
Name: شارع خالد بن الوليد, Instruction: Continue straight onto شارع خالد بن الوليد, Distance: 227.8 meters, Time: 164.0 seconds
Name: شارع ياسين عبد الغفار, Instruction: Turn right onto شارع ياسين عبد الغفار, Distance: 71.5 meters, Time: 51.5 seconds
Name: -, Instruction: Keep left, Distance: 38.4 meters, Time: 27.6 seconds
Name: شارع يوسف السباعى, Instruction: Turn slight left onto شارع يوسف السباعى, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Keep right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
