Name: Calle Medicina, Instruction: Head west on Calle Medicina, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn left, Distance: 41.6 meters, Time: 30.0 seconds
Name: Paseo de las Facultades, Instruction: Turn right onto Paseo de las Facultades, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: Circuito Escolar, Instruction: Turn left onto Circuito Escolar, Distance: 259.1 meters, Time: 186.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.8 meters, Time: 28.7 seconds
Name: Circuito Exterior, Instruction: Turn right onto Circuito Exterior, Distance: 155.8 meters, Time: 112.2 seconds
Name: Circuito de la Investigación Científica, Instruction: Turn sharp left onto Circuito de la Investigación Científica, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Keep right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 457.0 meters, Time: 329.0 seconds
Name: -, Instruction: Continue straight, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 119.9 meters, Time: 86.3 seconds
Name: -, Instruction: Turn left, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 91.9 meters, Time: 66.2 seconds
Name: -, Instruction: Turn slight left, Distance: 100.1 meters, Time: 72.1 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Keep right, Distance: 31.9 meters, Time: 22.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn slight left, Distance: 35.3 meters, Time: 25.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
