Name: Calle Ingenio Zacatepec, Instruction: Head northwest on Calle Ingenio Zacatepec, Distance: 521.6 meters, Time: 375.6 seconds
Name: Calzada del Hueso, Instruction: Turn left onto Calzada del Hueso, Distance: 183.6 meters, Time: 132.2 seconds
Name: -, Instruction: Turn right, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.4 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 200.7 meters, Time: 144.5 seconds
Name: -, Instruction: Turn right, Distance: 54.6 meters, Time: 39.3 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 94.8 meters, Time: 68.3 seconds
Name: Calle Rancho de los Arcos, Instruction: Turn right onto Calle Rancho de los Arcos, Distance: 135.9 meters, Time: 97.8 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
