Name: Samoa Avenue, Instruction: Head east on Samoa Avenue, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 772.4 meters, Time: 556.2 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: Thomas Street, Instruction: Turn right onto Thomas Street, Distance: 358.6 meters, Time: 258.2 seconds
Name: Thomas Street, Instruction: Turn slight left onto Thomas Street, Distance: 204.8 meters, Time: 147.5 seconds
Name: Prince Street, Instruction: Turn right onto Prince Street, Distance: 268.2 meters, Time: 193.1 seconds
Name: The River Road, Instruction: Turn left onto The River Road, Distance: 220.4 meters, Time: 158.7 seconds
Name: Sandakan Road, Instruction: Turn right onto Sandakan Road, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 92.8 meters, Time: 66.8 seconds
Name: Alamein Road, Instruction: Turn left onto Alamein Road, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at Alamein Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
