Name: Egenbergerweg, Instruction: Head north on Egenbergerweg, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn slight right, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn left, Distance: 248.6 meters, Time: 179.0 seconds
Name: Hermann-Pünder-Straße, Instruction: Keep left onto Hermann-Pünder-Straße, Distance: 46.1 meters, Time: 33.2 seconds
Name: Nailastraße, Instruction: Turn right onto Nailastraße, Distance: 185.0 meters, Time: 133.2 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.2 seconds
Name: Hofer Straße, Instruction: Turn right onto Hofer Straße, Distance: 197.5 meters, Time: 142.2 seconds
Name: -, Instruction: Arrive at Hofer Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
