Name: Leander Road, Instruction: Head northwest on Leander Road, Distance: 24.1 meters, Time: 17.3 seconds
Name: Josephine Avenue, Instruction: Turn left onto Josephine Avenue, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 174.1 meters, Time: 125.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Brixton Hill, A23, Instruction: Turn right onto Brixton Hill, A23, Distance: 6.3 meters, Time: 4.5 seconds
Name: Lambert Road, Instruction: Turn left onto Lambert Road, Distance: 428.0 meters, Time: 308.1 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: Prague Place, Instruction: Turn right onto Prague Place, Distance: 74.8 meters, Time: 53.9 seconds
Name: Lyham Road, Instruction: Turn left onto Lyham Road, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 111.6 meters, Time: 80.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.6 meters, Time: 1.8 seconds
Name: Crescent Lane, Instruction: Turn right onto Crescent Lane, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: Crescent Lane, Instruction: Turn right onto Crescent Lane, Distance: 487.1 meters, Time: 350.7 seconds
Name: -, Instruction: Turn right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 129.9 meters, Time: 93.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
