Name: Garfield Street, Instruction: Head west on Garfield Street, Distance: 409.8 meters, Time: 295.1 seconds
Name: Parnell Rise, Instruction: Turn left onto Parnell Rise, Distance: 5.4 meters, Time: 3.9 seconds
Name: Parnell Rise, Instruction: Keep right onto Parnell Rise, Distance: 139.0 meters, Time: 100.1 seconds
Name: -, Instruction: Turn left, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 88.6 meters, Time: 63.8 seconds
Name: Churchill Street Shared Path, Instruction: Turn left onto Churchill Street Shared Path, Distance: 2.0 meters, Time: 1.4 seconds
Name: Constitution Hill, Instruction: Turn right onto Constitution Hill, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 46.1 meters, Time: 33.2 seconds
Name: -, Instruction: Continue straight, Distance: 114.2 meters, Time: 82.2 seconds
Name: -, Instruction: Turn left, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn slight right, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Keep left, Distance: 84.1 meters, Time: 60.5 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Waterloo Quadrant, Instruction: Turn right onto Waterloo Quadrant, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 162.9 meters, Time: 117.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 50.1 meters, Time: 36.0 seconds
Name: -, Instruction: Turn right, Distance: 38.8 meters, Time: 27.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
