Name: Hanger Lane, A4005, Instruction: Head south on Hanger Lane, A4005, Distance: 147.8 meters, Time: 106.4 seconds
Name: Hanger Lane, A4005, Instruction: Keep left onto Hanger Lane, A4005, Distance: 50.9 meters, Time: 36.6 seconds
Name: Priory Gardens, Instruction: Keep left onto Priory Gardens, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.7 seconds
Name: S5, Instruction: Turn right onto S5, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Keep left, Distance: 161.7 meters, Time: 116.4 seconds
Name: -, Instruction: Keep left, Distance: 16.0 meters, Time: 11.5 seconds
Name: S1, Instruction: Turn sharp left onto S1, Distance: 30.2 meters, Time: 21.8 seconds
Name: S2, Instruction: Turn left onto S2, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Continue straight, Distance: 465.4 meters, Time: 335.1 seconds
Name: Western Avenue, Instruction: Turn slight left onto Western Avenue, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at Western Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
