Name: Rue des Ravins / Sentier des Ravins, Instruction: Head north on Rue des Ravins / Sentier des Ravins, Distance: 31.1 meters, Time: 22.4 seconds
Name: Rue Bain, Instruction: Turn left onto Rue Bain, Distance: 89.9 meters, Time: 64.7 seconds
Name: Rue Désiré Vienot, Instruction: Turn left onto Rue Désiré Vienot, Distance: 60.0 meters, Time: 43.2 seconds
Name: Rue Thérèse, Instruction: Turn right onto Rue Thérèse, Distance: 97.4 meters, Time: 70.1 seconds
Name: Rue de la Capsulerie, Instruction: Turn left onto Rue de la Capsulerie, Distance: 358.0 meters, Time: 257.7 seconds
Name: Rue Sesto Fiorentino, Instruction: Continue straight onto Rue Sesto Fiorentino, Distance: 28.8 meters, Time: 20.7 seconds
Name: Avenue du Général de Gaulle, Instruction: Enter the roundabout and take the 1st exit onto Avenue du Général de Gaulle, Distance: 49.8 meters, Time: 35.8 seconds
Name: Rue du Château, Instruction: Turn right onto Rue du Château, Distance: 27.7 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 80.5 meters, Time: 57.9 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: Avenue de la République, D 37, Instruction: Turn right onto Avenue de la République, D 37, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn slight left, Distance: 297.6 meters, Time: 214.3 seconds
Name: -, Instruction: Turn right, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 108.8 meters, Time: 78.4 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 38.4 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Rue Pierre Quillard, Instruction: Turn right onto Rue Pierre Quillard, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.3 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
