Name: Avenida Carlos Zara, Instruction: Head east on Avenida Carlos Zara, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 263.9 meters, Time: 190.0 seconds
Name: -, Instruction: Keep left, Distance: 323.2 meters, Time: 232.7 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.6 seconds
Name: Rua Henriete Morineau, Instruction: Turn right onto Rua Henriete Morineau, Distance: 799.2 meters, Time: 575.4 seconds
Name: Barra-Jacarepaguá, Instruction: Turn slight left onto Barra-Jacarepaguá, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Avenida Ayrton Senna, Instruction: Turn sharp left onto Avenida Ayrton Senna, Distance: 114.6 meters, Time: 82.5 seconds
Name: Curva Chico Anysio, Instruction: Turn sharp right onto Curva Chico Anysio, Distance: 326.9 meters, Time: 235.3 seconds
Name: Via Projetada 3, Instruction: Keep right onto Via Projetada 3, Distance: 514.8 meters, Time: 370.6 seconds
Name: Via Projetada 3, Instruction: Keep left onto Via Projetada 3, Distance: 9.8 meters, Time: 7.1 seconds
Name: Avenida Jô Soares, Instruction: Turn slight left onto Avenida Jô Soares, Distance: 63.7 meters, Time: 45.8 seconds
Name: Avenida Jô Soares, Instruction: Turn left onto Avenida Jô Soares, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Arrive at Avenida Jô Soares, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
