Name: Science Park Drive, Instruction: Head northwest on Science Park Drive, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 95.4 meters, Time: 68.7 seconds
Name: -, Instruction: Turn left, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn slight left, Distance: 229.8 meters, Time: 165.4 seconds
Name: -, Instruction: Keep right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn slight right, Distance: 98.2 meters, Time: 70.7 seconds
Name: -, Instruction: Turn right, Distance: 260.8 meters, Time: 187.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 124.9 meters, Time: 89.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
