Name: Southill Drive, Instruction: Head southwest on Southill Drive, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn left, Distance: 434.2 meters, Time: 312.6 seconds
Name: -, Instruction: Turn right, Distance: 523.6 meters, Time: 377.0 seconds
Name: -, Instruction: Turn slight right, Distance: 283.2 meters, Time: 203.9 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 40.9 meters, Time: 29.5 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn left, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn slight left, Distance: 285.0 meters, Time: 205.2 seconds
Name: -, Instruction: Turn left, Distance: 89.0 meters, Time: 64.0 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
