Name: Sabana Place, Instruction: Head north on Sabana Place, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 67.4 meters, Time: 48.5 seconds
Name: -, Instruction: Keep right, Distance: 51.2 meters, Time: 36.9 seconds
Name: SH-18 Cycleway, Instruction: Turn right onto SH-18 Cycleway, Distance: 262.9 meters, Time: 189.3 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 207.6 meters, Time: 149.4 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 570.5 meters, Time: 410.7 seconds
Name: -, Instruction: Turn left, Distance: 118.3 meters, Time: 85.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
