Name: Peck Seah Street, Instruction: Head south on Peck Seah Street, Distance: 70.0 meters, Time: 50.4 seconds
Name: Gopeng Street, Instruction: Turn left onto Gopeng Street, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 330.8 meters, Time: 238.2 seconds
Name: -, Instruction: Turn slight left, Distance: 168.1 meters, Time: 121.0 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: South Bridge Road, Instruction: Turn right onto South Bridge Road, Distance: 39.9 meters, Time: 28.7 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.0 seconds
Name: South Bridge Road, Instruction: Turn slight right onto South Bridge Road, Distance: 251.5 meters, Time: 181.1 seconds
Name: Mosque Street, 摩士街, Instruction: Turn left onto Mosque Street, 摩士街, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: Upper Cross Street, Instruction: Turn left onto Upper Cross Street, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn right, Distance: 176.4 meters, Time: 127.0 seconds
Name: Upper Hokien Street, Instruction: Turn left onto Upper Hokien Street, Distance: 132.5 meters, Time: 95.4 seconds
Name: -, Instruction: Keep right, Distance: 60.7 meters, Time: 43.7 seconds
Name: Upper Pickering Street, Instruction: Turn right onto Upper Pickering Street, Distance: 17.9 meters, Time: 12.9 seconds
Name: -, Instruction: Arrive at Upper Pickering Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
