Name: Englischer Garten, Instruction: Head southeast on Englischer Garten, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Keep left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Keep right, Distance: 253.1 meters, Time: 182.3 seconds
Name: Neuberghauser Straße, Instruction: Turn right onto Neuberghauser Straße, Distance: 122.5 meters, Time: 88.2 seconds
Name: -, Instruction: Keep right, Distance: 210.4 meters, Time: 151.5 seconds
Name: Möhlstraße, Instruction: Turn right onto Möhlstraße, Distance: 42.3 meters, Time: 30.4 seconds
Name: Hompeschstraße, Instruction: Keep left onto Hompeschstraße, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
