Name: McNair Road, Instruction: Head southwest on McNair Road, Distance: 216.3 meters, Time: 155.7 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 283.6 meters, Time: 204.2 seconds
Name: Joo Avenue, Instruction: Turn left onto Joo Avenue, Distance: 17.4 meters, Time: 12.5 seconds
Name: Sing Joo Walk, Instruction: Turn sharp right onto Sing Joo Walk, Distance: 102.4 meters, Time: 73.7 seconds
Name: Sing Avenue, Instruction: Turn left onto Sing Avenue, Distance: 49.0 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 81.3 meters, Time: 58.5 seconds
Name: Rangoon Road, Instruction: Turn right onto Rangoon Road, Distance: 16.1 meters, Time: 11.6 seconds
Name: Starlight Terrace, Instruction: Turn left onto Starlight Terrace, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Arrive at Starlight Terrace, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
