Name: Avenida Zacatépetl, Instruction: Head north on Avenida Zacatépetl, Distance: 321.4 meters, Time: 231.4 seconds
Name: -, Instruction: Keep left, Distance: 218.6 meters, Time: 157.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn slight left, Distance: 38.0 meters, Time: 27.4 seconds
Name: Calle Llanura, Instruction: Turn right onto Calle Llanura, Distance: 39.9 meters, Time: 28.7 seconds
Name: Boulevard Cataratas, Instruction: Turn left onto Boulevard Cataratas, Distance: 289.6 meters, Time: 208.5 seconds
Name: Camino a Santa Teresa, Instruction: Turn right onto Camino a Santa Teresa, Distance: 231.0 meters, Time: 166.3 seconds
Name: Avenida Paseo del Pedregal, Instruction: Turn left onto Avenida Paseo del Pedregal, Distance: 199.8 meters, Time: 143.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 160.3 meters, Time: 115.4 seconds
Name: -, Instruction: Turn right, Distance: 40.2 meters, Time: 29.0 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Continue straight onto Boulevard Adolfo Ruiz Cortines, Distance: 200.4 meters, Time: 144.3 seconds
Name: -, Instruction: Keep right, Distance: 126.8 meters, Time: 91.3 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn slight left onto Boulevard Adolfo Ruiz Cortines, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Keep left, Distance: 24.5 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight right, Distance: 49.8 meters, Time: 35.9 seconds
Name: Boulevard Adolfo Ruiz Cortines, Instruction: Turn slight left onto Boulevard Adolfo Ruiz Cortines, Distance: 105.0 meters, Time: 75.6 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
