Name: Kennedy Street, Instruction: Head north on Kennedy Street, Distance: 65.4 meters, Time: 47.1 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 202.8 meters, Time: 146.1 seconds
Name: Oval Lane, Instruction: Turn left onto Oval Lane, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 113.0 meters, Time: 81.3 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 21.6 meters, Time: 15.5 seconds
Name: University Walk, Instruction: Continue straight onto University Walk, Distance: 46.9 meters, Time: 33.7 seconds
Name: University Walk, Instruction: Turn slight right onto University Walk, Distance: 18.6 meters, Time: 13.4 seconds
Name: University Walk, Instruction: Turn left onto University Walk, Distance: 28.3 meters, Time: 20.4 seconds
Name: Chancellery Walk, Instruction: Turn slight left onto Chancellery Walk, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Wansey Road, Instruction: Turn right onto Wansey Road, Distance: 538.0 meters, Time: 387.4 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Turn left, Distance: 305.1 meters, Time: 219.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
