Name: Upper Coventry Road, Instruction: Head south on Upper Coventry Road, Distance: 43.7 meters, Time: 31.5 seconds
Name: Lever Street, Instruction: Turn right onto Lever Street, Distance: 185.4 meters, Time: 133.5 seconds
Name: Ravenscraig Road, Instruction: Turn left onto Ravenscraig Road, Distance: 116.4 meters, Time: 83.8 seconds
Name: Chester Road, Instruction: Turn right onto Chester Road, Distance: 185.0 meters, Time: 133.2 seconds
Name: Chester Road, Instruction: Keep left onto Chester Road, Distance: 16.2 meters, Time: 11.7 seconds
Name: Hanover Street, Instruction: Continue straight onto Hanover Street, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 216.5 meters, Time: 155.8 seconds
Name: Christiaan Street, Instruction: Turn slight left onto Christiaan Street, Distance: 31.2 meters, Time: 22.4 seconds
Name: Constitution Street, Instruction: Turn slight right onto Constitution Street, Distance: 298.6 meters, Time: 215.0 seconds
Name: -, Instruction: Turn right, Distance: 51.5 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 63.8 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 87.7 meters, Time: 63.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
