Name: Rue Paul Féval, Instruction: Head east on Rue Paul Féval, Distance: 105.1 meters, Time: 75.7 seconds
Name: Rue du Mont Cenis, Instruction: Turn left onto Rue du Mont Cenis, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Lamarck, Instruction: Turn right onto Rue Lamarck, Distance: 93.0 meters, Time: 66.9 seconds
Name: Rue Becquerel, Instruction: Turn left onto Rue Becquerel, Distance: 76.9 meters, Time: 55.4 seconds
Name: Rue Lambert, Instruction: Turn slight right onto Rue Lambert, Distance: 7.3 meters, Time: 5.3 seconds
Name: Place Jean Gabin, Instruction: Turn left onto Place Jean Gabin, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight left, Distance: 108.9 meters, Time: 78.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Keep right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn slight left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
