Name: Clarke Street, Instruction: Head south on Clarke Street, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn right, Distance: 181.8 meters, Time: 130.9 seconds
Name: -, Instruction: Keep left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 393.9 meters, Time: 283.6 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 465.8 meters, Time: 335.4 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Rumsey Road, Instruction: Turn right onto Rumsey Road, Distance: 3.8 meters, Time: 2.7 seconds
Name: Sharron Drive, Instruction: Turn left onto Sharron Drive, Distance: 160.5 meters, Time: 115.6 seconds
Name: -, Instruction: Arrive at Sharron Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
