Name: Sonderend Road, Instruction: Head north on Sonderend Road, Distance: 31.3 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 341.5 meters, Time: 245.8 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.9 seconds
Name: -, Instruction: Keep left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn slight left, Distance: 120.7 meters, Time: 86.9 seconds
Name: Silverstream Road, Instruction: Turn left onto Silverstream Road, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 238.2 meters, Time: 171.5 seconds
Name: Silverstream Road, Instruction: Turn left onto Silverstream Road, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 69.9 meters, Time: 50.3 seconds
Name: Dorothy Zihlangu Street, Instruction: Turn left onto Dorothy Zihlangu Street, Distance: 28.4 meters, Time: 20.5 seconds
Name: Silverstream Road, Instruction: Turn right onto Silverstream Road, Distance: 68.3 meters, Time: 49.2 seconds
Name: Phoenix Street, Instruction: Turn left onto Phoenix Street, Distance: 51.9 meters, Time: 37.4 seconds
Name: Condor Road, Instruction: Turn left onto Condor Road, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Arrive at Condor Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
