Name: Bamfield Place, Instruction: Head east on Bamfield Place, Distance: 69.0 meters, Time: 49.7 seconds
Name: Seacliffe Road, Instruction: Turn left onto Seacliffe Road, Distance: 155.4 meters, Time: 111.8 seconds
Name: Frederick Street, Instruction: Turn left onto Frederick Street, Distance: 46.0 meters, Time: 33.1 seconds
Name: Frederick Street, Instruction: Enter the roundabout and take the 1st exit onto Frederick Street, Distance: 146.4 meters, Time: 105.4 seconds
Name: Frederick Street, Instruction: Turn left onto Frederick Street, Distance: 7.4 meters, Time: 5.4 seconds
Name: Frederick Street, Instruction: Turn slight right onto Frederick Street, Distance: 705.6 meters, Time: 508.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Keep left, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Keep left, Distance: 8.8 meters, Time: 6.3 seconds
Name: Hoskins Avenue, Instruction: Turn right onto Hoskins Avenue, Distance: 228.6 meters, Time: 164.6 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 273.5 meters, Time: 196.9 seconds
Name: -, Instruction: Turn right, Distance: 81.3 meters, Time: 58.5 seconds
Name: -, Instruction: Keep left, Distance: 189.4 meters, Time: 136.4 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
