Name: Grange Road, Instruction: Head west on Grange Road, Distance: 30.1 meters, Time: 21.6 seconds
Name: Ashton Road, Instruction: Turn right onto Ashton Road, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 285.5 meters, Time: 205.6 seconds
Name: Dominion Road East Safe Cycle Route, Instruction: Turn left onto Dominion Road East Safe Cycle Route, Distance: 8.8 meters, Time: 6.4 seconds
Name: Dominion Road East Safe Cycle Route, Instruction: Turn right onto Dominion Road East Safe Cycle Route, Distance: 16.0 meters, Time: 11.5 seconds
Name: Dominion Road East Safe Cycle Route, Instruction: Turn left onto Dominion Road East Safe Cycle Route, Distance: 403.9 meters, Time: 290.8 seconds
Name: Dominion Road East Safe Cycle Route, Instruction: Turn left onto Dominion Road East Safe Cycle Route, Distance: 191.0 meters, Time: 137.5 seconds
Name: Dominion Road East Safe Cycle Route, Instruction: Turn right onto Dominion Road East Safe Cycle Route, Distance: 5.4 meters, Time: 3.9 seconds
Name: Sherbourne Road, Instruction: Turn left onto Sherbourne Road, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
