Name: Red Gum Drive, Instruction: Head west on Red Gum Drive, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 53.7 meters, Time: 38.7 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 119.1 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.3 seconds
Name: -, Instruction: Turn slight right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 408.0 meters, Time: 293.7 seconds
Name: Taradale Drive, Instruction: Turn left onto Taradale Drive, Distance: 43.5 meters, Time: 31.3 seconds
Name: Brunswick Circuit, Instruction: Turn right onto Brunswick Circuit, Distance: 294.4 meters, Time: 212.0 seconds
Name: -, Instruction: Keep right, Distance: 307.4 meters, Time: 221.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
