Name: Boulevard Paul-Émile Victor, Instruction: Head northeast on Boulevard Paul-Émile Victor, Distance: 185.6 meters, Time: 133.6 seconds
Name: -, Instruction: Turn left, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 84.1 meters, Time: 60.6 seconds
Name: -, Instruction: Turn left, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 468.7 meters, Time: 337.4 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 272.3 meters, Time: 196.1 seconds
Name: -, Instruction: Turn right, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 31.8 meters, Time: 22.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
