Name: Lake Shore Boulevard West, Instruction: Head west on Lake Shore Boulevard West, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 230.2 meters, Time: 165.7 seconds
Name: -, Instruction: Turn right, Distance: 187.2 meters, Time: 134.8 seconds
Name: -, Instruction: Turn right, Distance: 25.8 meters, Time: 18.5 seconds
Name: -, Instruction: Turn slight left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 23.8 meters, Time: 17.1 seconds
Name: Fleet Street, Instruction: Turn left onto Fleet Street, Distance: 324.1 meters, Time: 233.4 seconds
Name: -, Instruction: Turn left, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Keep left, Distance: 402.3 meters, Time: 289.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight left, Distance: 443.3 meters, Time: 319.2 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Nunavut Road, Instruction: Turn right onto Nunavut Road, Distance: 54.7 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 131.6 meters, Time: 94.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
