Name: Condominio Residencial Pedra Do Calemba, Instruction: Head east on Condominio Residencial Pedra Do Calemba, Distance: 166.8 meters, Time: 120.1 seconds
Name: Rua Professor Santos Moreira, Instruction: Turn left onto Rua Professor Santos Moreira, Distance: 367.2 meters, Time: 264.4 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn left, Distance: 573.2 meters, Time: 412.7 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn right onto Estrada dos Bandeirantes, Distance: 413.9 meters, Time: 298.0 seconds
Name: Estrada dos Bandeirantes, Instruction: Keep left onto Estrada dos Bandeirantes, Distance: 187.9 meters, Time: 135.3 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
