Name: Avenida Pasteur, Instruction: Head southeast on Avenida Pasteur, Distance: 160.8 meters, Time: 115.8 seconds
Name: Rua General Severiano, Instruction: Keep right onto Rua General Severiano, Distance: 335.3 meters, Time: 241.4 seconds
Name: -, Instruction: Turn left, Distance: 96.6 meters, Time: 69.5 seconds
Name: Avenida Venceslau Braz, Instruction: Turn right onto Avenida Venceslau Braz, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 149.8 meters, Time: 107.8 seconds
Name: -, Instruction: Keep right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Keep right, Distance: 31.1 meters, Time: 22.4 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn right onto Ciclovia Mané Garrincha, Distance: 11.4 meters, Time: 8.2 seconds
Name: Ciclovia Mané Garrincha, Instruction: Turn slight right onto Ciclovia Mané Garrincha, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn left, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 12.0 meters, Time: 8.6 seconds
Name: Avenida Lauro Sodré, Instruction: Turn left onto Avenida Lauro Sodré, Distance: 21.8 meters, Time: 15.7 seconds
Name: Avenida Carlos Peixoto, Instruction: Keep right onto Avenida Carlos Peixoto, Distance: 272.5 meters, Time: 196.2 seconds
Name: Avenida Carlos Peixoto, Instruction: Continue straight onto Avenida Carlos Peixoto, Distance: 32.3 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 47.3 meters, Time: 34.1 seconds
Name: -, Instruction: Continue straight, Distance: 36.1 meters, Time: 26.0 seconds
Name: Avenida Lauro Sodré, Instruction: Turn slight right onto Avenida Lauro Sodré, Distance: 324.8 meters, Time: 233.8 seconds
Name: Praça Demétrio Ribeiro, Instruction: Keep right onto Praça Demétrio Ribeiro, Distance: 202.3 meters, Time: 145.7 seconds
Name: -, Instruction: Arrive at Praça Demétrio Ribeiro, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
