Name: Route de la Dame Blanche, Instruction: Head east on Route de la Dame Blanche, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Keep right, Distance: 64.9 meters, Time: 46.7 seconds
Name: Route du Donjon, Instruction: Turn slight left onto Route du Donjon, Distance: 123.6 meters, Time: 89.0 seconds
Name: Route du Donjon, Instruction: Continue straight onto Route du Donjon, Distance: 20.6 meters, Time: 14.9 seconds
Name: Route du Donjon, Instruction: Continue straight onto Route du Donjon, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 87.3 meters, Time: 62.9 seconds
Name: Route du Grand Maréchal, Instruction: Keep right onto Route du Grand Maréchal, Distance: 352.6 meters, Time: 253.9 seconds
Name: Route des Dames, Instruction: Turn right onto Route des Dames, Distance: 174.8 meters, Time: 125.8 seconds
Name: Route des Dames, Instruction: Keep right onto Route des Dames, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Arrive at Route des Dames, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
