Name: Glenholme Avenue, Instruction: Head south on Glenholme Avenue, Distance: 142.6 meters, Time: 102.7 seconds
Name: Genessee Avenue, Instruction: Turn right onto Genessee Avenue, Distance: 97.5 meters, Time: 70.2 seconds
Name: Lauder Avenue, Instruction: Turn right onto Lauder Avenue, Distance: 21.2 meters, Time: 15.3 seconds
Name: Genessee Avenue, Instruction: Turn left onto Genessee Avenue, Distance: 184.0 meters, Time: 132.5 seconds
Name: Westmount Avenue, Instruction: Turn right onto Westmount Avenue, Distance: 101.2 meters, Time: 72.8 seconds
Name: Martin Street, Instruction: Turn left onto Martin Street, Distance: 51.4 meters, Time: 37.0 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
