Name: Van Reenen Street, Instruction: Head south on Van Reenen Street, Distance: 23.1 meters, Time: 16.6 seconds
Name: Merriman Road, Instruction: Turn right onto Merriman Road, Distance: 150.6 meters, Time: 108.4 seconds
Name: Victoria Street, Instruction: Turn left onto Victoria Street, Distance: 169.9 meters, Time: 122.3 seconds
Name: Dingle Road, Instruction: Turn right onto Dingle Road, Distance: 346.9 meters, Time: 249.7 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: Hugo Street, Instruction: Turn left onto Hugo Street, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 34.6 meters, Time: 24.9 seconds
Name: -, Instruction: Keep left, Distance: 259.8 meters, Time: 187.1 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Turn right, Distance: 112.7 meters, Time: 81.1 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.9 meters, Time: 23.7 seconds
Name: Consani Road, Instruction: Turn left onto Consani Road, Distance: 386.9 meters, Time: 278.6 seconds
Name: 23rd Street, Instruction: Turn right onto 23rd Street, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn slight left, Distance: 331.5 meters, Time: 238.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
