Name: Avenue Darcel, Instruction: Head northeast on Avenue Darcel, Distance: 5.7 meters, Time: 4.1 seconds
Name: Avenue Jacques de Liniers, Instruction: Turn slight left onto Avenue Jacques de Liniers, Distance: 169.7 meters, Time: 122.2 seconds
Name: Avenue Jacques de Liniers, Instruction: Keep right onto Avenue Jacques de Liniers, Distance: 148.9 meters, Time: 107.2 seconds
Name: Avenue de la Cascade, Instruction: Turn slight right onto Avenue de la Cascade, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Keep left, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Keep left, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.6 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 105.4 meters, Time: 75.9 seconds
Name: Avenue de la Grotte, Instruction: Keep right onto Avenue de la Grotte, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 81.2 meters, Time: 58.4 seconds
Name: Avenue Édouard Petit, Instruction: Turn slight right onto Avenue Édouard Petit, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 152.6 meters, Time: 109.9 seconds
Name: Avenue J.C. Cave, Instruction: Turn left onto Avenue J.C. Cave, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Keep right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight right, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Keep left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 818.0 meters, Time: 589.0 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
