Name: Colac Place, Instruction: Head northwest on Colac Place, Distance: 37.3 meters, Time: 26.8 seconds
Name: Caratel Crescent, Instruction: Turn right onto Caratel Crescent, Distance: 8.3 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Keep left, Distance: 215.5 meters, Time: 155.1 seconds
Name: -, Instruction: Keep left, Distance: 375.4 meters, Time: 270.3 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn slight right, Distance: 152.6 meters, Time: 109.9 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 86.9 meters, Time: 62.6 seconds
Name: Isis Place, Instruction: Turn right onto Isis Place, Distance: 6.9 meters, Time: 5.0 seconds
Name: Thyme Street, Instruction: Turn left onto Thyme Street, Distance: 105.3 meters, Time: 75.8 seconds
Name: Lobelia Crescent, Instruction: Keep right onto Lobelia Crescent, Distance: 90.7 meters, Time: 65.3 seconds
Name: Keera Street, Instruction: Turn left onto Keera Street, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Keep right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 492.8 meters, Time: 354.8 seconds
Name: -, Instruction: Keep left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn slight left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Keelo Street, Instruction: Turn left onto Keelo Street, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Arrive at Keelo Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
