Name: Kollwitzstraße, Instruction: Head west on Kollwitzstraße, Distance: 103.0 meters, Time: 74.2 seconds
Name: Ingolstädter Straße, Instruction: Turn left onto Ingolstädter Straße, Distance: 270.2 meters, Time: 194.5 seconds
Name: Gundelkoferstraße, Instruction: Turn right onto Gundelkoferstraße, Distance: 21.8 meters, Time: 15.7 seconds
Name: Sudetendeutschestraße, Instruction: Keep left onto Sudetendeutschestraße, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 236.8 meters, Time: 170.5 seconds
Name: -, Instruction: Keep left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Keep left, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Keep right, Distance: 504.3 meters, Time: 363.1 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep left, Distance: 30.8 meters, Time: 22.2 seconds
Name: Frankfurter Ring, Instruction: Turn right onto Frankfurter Ring, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 23.1 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 46.5 meters, Time: 33.5 seconds
Name: -, Instruction: Turn left, Distance: 71.4 meters, Time: 51.4 seconds
Name: Schmalkaldener Straße, Instruction: Turn right onto Schmalkaldener Straße, Distance: 3.9 meters, Time: 2.8 seconds
Name: Bad-Soden-Straße, Instruction: Turn left onto Bad-Soden-Straße, Distance: 297.0 meters, Time: 213.8 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.2 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn left, Distance: 53.8 meters, Time: 38.8 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn right, Distance: 23.3 meters, Time: 16.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.1 meters, Time: 35.3 seconds
Name: Griegstraße, Instruction: Turn right onto Griegstraße, Distance: 76.3 meters, Time: 54.9 seconds
Name: Brentanostraße, Instruction: Turn left onto Brentanostraße, Distance: 102.3 meters, Time: 73.7 seconds
Name: -, Instruction: Turn right, Distance: 58.8 meters, Time: 42.3 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
