Name: Montana Court, Instruction: Head northeast on Montana Court, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 177.7 meters, Time: 127.9 seconds
Name: Scottsdale Street, Instruction: Turn left onto Scottsdale Street, Distance: 94.0 meters, Time: 67.7 seconds
Name: Phoenix Avenue, Instruction: Turn left onto Phoenix Avenue, Distance: 479.3 meters, Time: 345.1 seconds
Name: Phoenix Avenue, Instruction: Keep left onto Phoenix Avenue, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 120.5 meters, Time: 86.8 seconds
Name: -, Instruction: Turn right, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn slight left, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn right, Distance: 265.2 meters, Time: 191.0 seconds
Name: -, Instruction: Turn slight right, Distance: 193.7 meters, Time: 139.5 seconds
Name: -, Instruction: Turn right, Distance: 23.8 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 361.5 meters, Time: 260.3 seconds
Name: -, Instruction: Turn left, Distance: 503.7 meters, Time: 362.7 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
