Name: Fairford Avenue, Instruction: Head west on Fairford Avenue, Distance: 220.1 meters, Time: 158.5 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Keep left, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.3 seconds
Name: -, Instruction: Keep left, Distance: 69.1 meters, Time: 49.7 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 229.5 meters, Time: 165.3 seconds
Name: -, Instruction: Keep left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 255.1 meters, Time: 183.7 seconds
Name: -, Instruction: Keep left, Distance: 185.7 meters, Time: 133.7 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Keep left, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Keep left, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Keep left, Distance: 209.4 meters, Time: 150.8 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 192.4 meters, Time: 138.5 seconds
Name: -, Instruction: Keep left, Distance: 59.3 meters, Time: 42.7 seconds
Name: -, Instruction: Turn slight left, Distance: 150.0 meters, Time: 108.0 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
