Name: Hulme Place, Instruction: Head southeast on Hulme Place, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 170.5 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 502.6 meters, Time: 361.9 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn right, Distance: 75.3 meters, Time: 54.2 seconds
Name: Green Dragon Court, Instruction: Turn slight right onto Green Dragon Court, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 445.7 meters, Time: 320.9 seconds
Name: King William Street, Instruction: Turn left onto King William Street, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.2 seconds
Name: Upper Thames Street, Instruction: Turn right onto Upper Thames Street, Distance: 59.0 meters, Time: 42.5 seconds
Name: Upper Thames Street, Instruction: Turn left onto Upper Thames Street, Distance: 25.5 meters, Time: 18.4 seconds
Name: Laurence Pountney Lane, Instruction: Turn right onto Laurence Pountney Lane, Distance: 55.8 meters, Time: 40.2 seconds
Name: Laurence Pountney Lane, Instruction: Turn right onto Laurence Pountney Lane, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 29.4 meters, Time: 21.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
