Name: Franz-Prüller-Straße, Instruction: Head south on Franz-Prüller-Straße, Distance: 1.1 meters, Time: 0.8 seconds
Name: Am Herrgottseck, Instruction: Continue straight onto Am Herrgottseck, Distance: 52.4 meters, Time: 37.8 seconds
Name: Quellenstraße, Instruction: Turn left onto Quellenstraße, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Keep left, Distance: 75.3 meters, Time: 54.2 seconds
Name: -, Instruction: Keep left, Distance: 112.3 meters, Time: 80.9 seconds
Name: Hochstraße, Instruction: Turn right onto Hochstraße, Distance: 95.8 meters, Time: 68.9 seconds
Name: Pöppelstraße, Instruction: Turn left onto Pöppelstraße, Distance: 131.3 meters, Time: 94.6 seconds
Name: -, Instruction: Turn right, Distance: 257.1 meters, Time: 185.1 seconds
Name: -, Instruction: Keep right, Distance: 202.1 meters, Time: 145.5 seconds
Name: Tegernseer Landstraße, Instruction: Turn right onto Tegernseer Landstraße, Distance: 20.6 meters, Time: 14.8 seconds
Name: -, Instruction: Turn left, Distance: 365.0 meters, Time: 262.8 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn left, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Keep right, Distance: 18.3 meters, Time: 13.1 seconds
Name: Sankt-Martin-Straße, Instruction: Turn right onto Sankt-Martin-Straße, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Arrive at Sankt-Martin-Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
