Name: Spadina Avenue, Instruction: Head south on Spadina Avenue, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 96.9 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 1019.2 meters, Time: 733.8 seconds
Name: -, Instruction: Turn right, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn right, Distance: 174.3 meters, Time: 125.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 52.0 meters, Time: 37.5 seconds
Name: -, Instruction: Turn left, Distance: 72.0 meters, Time: 51.8 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
