Name: Taman Selamat, Instruction: Head west on Taman Selamat, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 90.0 meters, Time: 64.8 seconds
Name: -, Instruction: Turn left, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.5 seconds
Name: Jalan Kembangan, Instruction: Enter the roundabout and take the 1st exit onto Jalan Kembangan, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: Jalan Kembangan, Instruction: Turn left onto Jalan Kembangan, Distance: 202.3 meters, Time: 145.6 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: Siglap Park Connector, Instruction: Turn slight left onto Siglap Park Connector, Distance: 8.3 meters, Time: 6.0 seconds
Name: Siglap Park Connector, Instruction: Turn left onto Siglap Park Connector, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 359.2 meters, Time: 258.6 seconds
Name: Lorong Melayu, Instruction: Turn left onto Lorong Melayu, Distance: 151.6 meters, Time: 109.2 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.5 seconds
Name: Changi Road, Instruction: Turn right onto Changi Road, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at Changi Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
